"Story","Title","Result","Date","Stability","Duration (s)"
"Registro usuario","Registrar usuario en el sistema de Avantage","ERROR","2020-12-06T22:34:44.114-05:00[America/Bogota]","0.0","14.1"
"Registro usuario","Registrar usuario en el sistema de Avantage","ERROR","2020-12-06T23:26:06.618-05:00[America/Bogota]","0.0","12.81"
